Field,Bad,Good
Coverage Geographic,"Andohahela Reserve #11, road to Berenty, Madagascar","Andohahela Reserve, Madagascar"
Coverage Geographic,"Andranobony, Berenty Sissel Plantation, Madagascar","Andranobony, Berenty Sisal Plantation, Madagascar"
Coverage Geographic,"Androka, northeast, Madagascar","Androka, Madagascar"
Coverage Geographic,"Angoram, East Sepik Province, Papua New Guinea","Angoram, East Sepik Province, Papua New Guinea"
Coverage Geographic,"Ankarana Reserve, Madagascar","Ankarana Reserve, Madagascar"
Coverage Geographic,Ansel Adams Wilderness (Calif.),"Ansel Adams Wilderness, California"
Coverage Geographic,"Antananarivo, Hotel Colbert, Madagascar","Antananarivo, Hotel Colbert, Madagascar"
Coverage Geographic,"Antananarivo, Lake Anosy periphery, Madagascar","Lake Anosy periphery (Antananarivo), Madagascar"
Coverage Geographic,"Antananarivo, Madagascar","Antananarivo, Madagascar"
Coverage Geographic,"Antananarivo, Queen's Palace, Madagascar","Antananarivo, Queen's Palace, Madagascar"
Coverage Geographic,"Antananarivo, Queen's Palace, near, Madagascar","Antananarivo, Queen's Palace, Madagascar"
Coverage Geographic,"Antoroka village, 10 km south of Maroantsetra, Madagascar","Antoroka village, Maroantsetra, Madagascar"
Coverage Geographic,"Antsahabe, Madagascar","Antsahabe, Madagascar"
Coverage Geographic,"Antsirabe, Madagascar","Antsirabe, Madagascar"
Coverage Geographic,Antwerp Aquarium,Aquatopia Antwerp
Coverage Geographic,"Arb D'Antoskay, near Tulear, Madagascar","Arb D'Antoskay, near Tulear, Madagascar"
Coverage Geographic,Arizona,Arizona
Coverage Geographic,Arkansas,Arkansas
Coverage Geographic,"Asaeda, Toshio, 1893-1968",
Coverage Geographic,"Atchin Island, New Hebrides. Vanuatu. South Pacific Ocean","Atchin Island, New Hebrides, Vanuatu, South Pacific Ocean"
Coverage Geographic,Atlantic,Atlantic
Coverage Geographic,Australia,Australia
Coverage Geographic,Australia-New Guinea,"Australia, New Guinea"
Coverage Geographic,Baja,"Baja California, Mexico"
Coverage Geographic,Baja California (Mexico),"Baja California, Mexico"
Coverage Geographic,Baja California (Mexico),"Baja California, Mexico"
Coverage Geographic,"Baja California, Mexico","Baja California, Mexico"
Coverage Geographic,"Bali, Indonesia, Asia","Bali, Indonesia, Asia"
Coverage Geographic,"Bali, Indonesia, Asia.","Bali, Indonesia, Asia"
Coverage Geographic,Baltra Island (Galapagos Islands),"Baltra (South Seymour) Island, Galapagos Islands"
Coverage Geographic,"Bamako, Mali, Africa","Bamako, Mali, Africa"
Coverage Geographic,Bangkok Zoo,Bangkok Zoo
Coverage Geographic,"Banks Bay, Albemarle Island, Galapagos Islands. (Isabela Island)","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Barrington Island, Galapagos Islands, Ecuador","Santa Fe (Barrington) Island, Galapagos Islands"
Coverage Geographic,"Barrington Island, Galapagos Islands, Ecuador.","Santa Fe (Barrington) Island, Galapagos Islands"
Coverage Geographic,"Barrington Island, Galapagos. (Santa Fe Island)","Santa Fe (Barrington) Island, Galapagos Islands"
Coverage Geographic,"Barrow, Point (Alaska)","Point Barrow, Alaska"
Coverage Geographic,"Bay of Diego Suarez, Madagascar","Bay of Diego Suarez, Madagascar"
Coverage Geographic,"Beheloka, Madagascar","Beheloka, Madagascar"
Coverage Geographic,"Bellona Island, Solomon Islands","Bellona Island, Solomon Islands"
Coverage Geographic,"Bellona Island, Solomon.","Bellona Island, Solomon Islands"
Coverage Geographic,"Bemarivo River, Madagascar","Bemarivo River, Madagascar"
Coverage Geographic,"Bemarivo River, near, Madagascar","Bemarivo River, Madagascar"
Coverage Geographic,"Benin, Africa","Benin, Africa"
Coverage Geographic,"Berenty Reserve to Fort Dauphin, Madagascar","Berenty Reserve, Madagascar"
Coverage Geographic,"Berenty Reserve to Tananarive, Madagascar","Berenty Reserve, Madagascar"
Coverage Geographic,"Berenty Reserve, garden, Madagascar","Berenty Reserve, Madagascar"
Coverage Geographic,"Berenty Reserve, Madagascar","Berenty Reserve, Madagascar"
Coverage Geographic,"Berenty Reserve, near, Madagascar","Berenty Reserve, Madagascar"
Coverage Geographic,"Berenty Reserve, road to, Madagascar","Berenty Reserve, Madagascar"
Coverage Geographic,Berkeley (Calif.),"Berkeley, California"
Coverage Geographic,Bermuda,Bermuda
Coverage Geographic,"Betsiboka River, Madagascar","Betsiboka River, Madagascar"
Coverage Geographic,"between Ambondro and Tsiombe, Madagascar","(between) Ambondro and Tsihombe, Madagascar"
Coverage Geographic,"between Ampanihy and Andrake, Madagascar","(between) Ampanihy and Andrake, Madagascar"
Coverage Geographic,"between Ampanihy and Androka, Madagascar","(between) Ampanihy and Androka, Madagascar"
Coverage Geographic,"between Antsirabe and Vinanikarena, Madagascar","(between) Antsirabe and Vinanikarena, Madagascar"
Coverage Geographic,"between Beloha and Ampanihy, Madagascar","(between) Beloha and Ampanihy, Madagascar"
Coverage Geographic,"between Tsiombe and Beloha, Madagascar","(between) Tsiombe and Beloha, Madagascar"
Coverage Geographic,"beyond Ambondro on road to Isiombe, Madagascar","beyond Ambondro on road to Isiombe, Madagascar"
Coverage Geographic,"Beza Mahafaly Special Reserve, II 57, Madagascar","Beza Mahafaly Reserve, Madagascar"
Coverage Geographic,"Beza Mahafaly Special Reserve, Madagascar","Beza Mahafaly Reserve, Madagascar"
Coverage Geographic,"Beza Mahafaly Special Reserve, road to, II 56, Madagascar","Beza Mahafaly Reserve, Madagascar"
Coverage Geographic,"Beza Mahafaly Special Reserve, road to, Madagascar","Beza Mahafaly Reserve, Madagascar"
Coverage Geographic,Big Basin Redwoods State Park (Calif.),"Big Basin Redwoods State Park, California"
Coverage Geographic,"Bioko (Fernando Poo), Equatorial Guinea, Africa","Bioko (Fernando Po), Equatorial Guinea, Africa"
Coverage Geographic,"Bitara, East Sepik Province, Papua New Guinea","Bitara, Papua New Guinea"
Coverage Geographic,"Black Beach anchorage, Charles Island, Galapagos Islands","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Black Rock Beach, Charles Island, Galapagos Islands","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Black Rock Beach, Charles Island, Galapagos Islands (Now named Floreana Island)","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Bora Bora, Society Islands. French Polynesia. South Pacific Ocean","Bora Bora, Society Islands of French Polynesia"
Coverage Geographic,"Botswana, Africa","Botswana, Africa"
Coverage Geographic,Boulder (Colo.),"Boulder, Colorado"
Coverage Geographic,"Bramble Cay, an island at entrance to Torres Straits","Bramble Cay, Torres Straits Islands"
Coverage Geographic,British Columbia,British Columbia
Coverage Geographic,"Bureau Science Herbarium, Manila, P.I","Bureau Science Herbarium, Manila"
Coverage Geographic,Burghardt,Burghardt
Coverage Geographic,"Bwindi Impenetrable National Park, Uganda, Africa","Bwindi Impenetrable National Park, Uganda, Africa"
Coverage Geographic,"Calaveras County, California","Calaveras County, California"
Coverage Geographic,Calico Mt. Southern California,"Calico Mountains, Southern California"
Coverage Geographic,California,California
Coverage Geographic,California Academy of Sciences,California Academy of Sciences
Coverage Geographic,California Academy of Sciences,California Academy of Sciences
Coverage Geographic,California Academy of Sciences (Calif.),California Academy of Sciences
Coverage Geographic,California Academy of Sciences.,California Academy of Sciences
Coverage Geographic,California central valley,"Central Valley, California"
Coverage Geographic,California coast,California coast
Coverage Geographic,Calistoga (Calif.),"Calistoga, California"
Coverage Geographic,Canada,Canada
Coverage Geographic,"Cape San Lucas, Mexico","Cape San Lucas, Mexico"
Coverage Geographic,Cedros Island,"Cedros Island, Mexico"
Coverage Geographic,"Cedros Island, Mexico","Cedros Island, Mexico"
Coverage Geographic,Central Africa,Central Africa
Coverage Geographic,central California coast,Central California coast
Coverage Geographic,"Central Province, Papua New Guinea","Central Province, Papua New Guinea"
Coverage Geographic,Ceylon to Suez,"Ceylon, Sri Lanka. Asia"
Coverage Geographic,Ceylon. Sri Lanka. Asia,"Ceylon, Sri Lanka. Asia"
Coverage Geographic,Charles Island,"Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,Charles Island (Galapagos Islands),"Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Charles Island (Santa Maria), Galapagos","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Charles Island, Galapagos","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Charles Island, Galapagos Islands","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Charles Island, Galapagos Islands.","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Charles Island, Galapagos Islands.","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Charles Island, Galapagos Islands. (Floreana Island)","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Charles Island, Galapagos.","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Charles Island, Galapagos. (Floreana Island)","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,Charles Lee Tilden Regional Park (Calif.),"Charles Lee Tilden Regional Park, California"
Coverage Geographic,Chatham Island,"San Cristobal (Chatham) Island, Galapagos Islands"
Coverage Geographic,"Chatham Island, Galapagos","San Cristobal (Chatham) Island, Galapagos Islands"
Coverage Geographic,"Chatham Island, Galapagos Islands, Ecuador","San Cristobal (Chatham) Island, Galapagos Islands"
Coverage Geographic,"Chatham Island, Galapagos.  El Progresso. (San Cristobal Island)","San Cristobal (Chatham) Island, Galapagos Islands"
Coverage Geographic,"Chatham Island, Galapagos. (San Cristobal Island)","San Cristobal (Chatham) Island, Galapagos Islands"
Coverage Geographic,"Chatham Island, Wreck Bay","Chatham Island, Wreck Bay"
Coverage Geographic,"Chimbu Province, Papua New Guinea","Chimbu Province, Papua New Guinea"
Coverage Geographic,China,China
Coverage Geographic,"Chulyu Hills, Kenya, Africa","Chulyu Hills, Kenya, Africa"
Coverage Geographic,"Cimbu Province, Papua New Guinea","Chimbu Province, Papua New Guinea"
Coverage Geographic,Cisco (Calif.),"Cisco, California"
Coverage Geographic,Claremont (Calif.),"Claremont, California"
Coverage Geographic,Clarion Island.,Clarion Island
Coverage Geographic,Clipperton Island,Clipperton Island
Coverage Geographic,Cocos Island (Costa Rica),"Cocos Island, Costa Rica"
Coverage Geographic,Cocos Island (Costa Rica),"Cocos Island, Costa Rica"
Coverage Geographic,Colombia SA,"Colombia, South America"
Coverage Geographic,"Colombo Harbour, Ceylon. Sri Lanka. Asia","Colombo Harbour, Sri Lanka, Asia"
Coverage Geographic,Comoro Islands,Comoro Islands
Coverage Geographic,"Congo River, Africa","Congo River, Africa"
Coverage Geographic,Contra Costa County (Calif.),"Contra Costa County, California"
Coverage Geographic,"Conway Bay, Galapagos Islands","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Conway Bay, Indefatigable Island, Galapagos Islands","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Conway Bay, Indefatigable Island, Galapagos Islands, Ecuador","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Cordova, Spain","Cordova, Spain"
Coverage Geographic,Costa Rica,Costa Rica
Coverage Geographic,"Crocker, Templeton, 1884-1948",
Coverage Geographic,"Danmarks Akvarium, Denmark","Danmarks Akvarium, Denmark"
Coverage Geographic,Daphne Island (Galapagos Islands),"Daphne Major, Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Daphne Island, Galapagos","Daphne Major, Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Daphne Island, Galapagos Islands, Ecuador","Daphne Major, Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Daphne, Galapagos Islands, Ecuador","Daphne Major, Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Dar es Salaam, Tanzania, Africa","Dar es Salaam, Tanzania, Africa"
Coverage Geographic,"Darwin Bay, Tower Island, Galapagos Islands. (Now named Genovesa Island)","Genovesa (Tower) Island, Galapagos Islands"
Coverage Geographic,"Del Monte Park, Monterey, California","Del Monte Park, Monterey, California"
Coverage Geographic,Denver (Colo.),"Denver, Colorado"
Coverage Geographic,"Diego Suarez, Madagascar","Diego Suarez, Madagascar"
Coverage Geographic,"Diego Suarez, Montagne d'Francais, Madagascar","Diego Suarez, Madagascar"
Coverage Geographic,Dobu Island. D'Entrecasteaux Group. Papua New Guinea,"Dobu Island, D'Entrecasteaux Islands, Papua New Guinea"
Coverage Geographic,"Duncan Island, Galapagos Islands, Ecuador","Pinzon (Duncan) Island, Galapagos Islands"
Coverage Geographic,"Duncan Island, Galapagos Islands. (Pinzon Island)","Pinzon (Duncan) Island, Galapagos Islands"
Coverage Geographic,"Duncan Island, Galapagos. (Pinzon Island)","Pinzon (Duncan) Island, Galapagos Islands"
Coverage Geographic,Duncan Island. Galapagos Islands,"Pinzon (Duncan) Island, Galapagos Islands"
Coverage Geographic,"East Africa, Africa",East Africa
Coverage Geographic,"East Sepik Province, Papua New Guinea","East Sepik Province, Papua New Guinea"
Coverage Geographic,Easter Island,Easter Island
Coverage Geographic,easter usa,Easter Island
Coverage Geographic,"Eden  Island, Indefatigable Island, Galapagos Islands, Ecuador","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,Either Galapagos or Costa Rica,
Coverage Geographic,"Espanola Island, Galapagos","Espanola (Hood) Island, Galapagos Islands"
Coverage Geographic,Espa�ola Island/Hood Island (Galapagos Islands),"Espanola (Hood) Island, Galapagos Islands"
Coverage Geographic,Estes Park (Colo.),"Estes Park, Colorado"
Coverage Geographic,"Ethiopia, Africa","Ethiopia, Africa"
Coverage Geographic,Europe,Europe
Coverage Geographic,Farallon Islands (Calif.),"Gulf of the Farallones, California"
Coverage Geographic,"Farallones, Gulf of the (Calif.)","Gulf of the Farallones, California"
Coverage Geographic,"Fatu Hiva Island, Marquesas Islands. French Polynesia.","Fatu Hiva Island, Marquesas Islands, French Polynesia"
Coverage Geographic,"Fernandina Island, Galapagos","Fernandina (Narborough) Island, Galapagos Islands"
Coverage Geographic,"Fianarantsoa, Madagascar","Fianarantsoa, Madagascar"
Coverage Geographic,Fiji,Fiji
Coverage Geographic,"Floreana Island, Galapagos","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Floreana, Galapagos.","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,Flores Island Village. Lesser Sunda Islands. Indonesia.,"Flores Island Village, Lesser Sunda Islands, Indonesia"
Coverage Geographic,Florida,Florida
Coverage Geographic,Florida-in Steinhart,Florida
Coverage Geographic,"Fort Dauphin to Berenty Reserve, Madagascar","Fort Dauphin, Madagascar"
Coverage Geographic,"Fort Dauphin, Hotel Dauphin, Madagascar","Fort Dauphin, Madagascar"
Coverage Geographic,"Fort Dauphin, Le Banon Beach, Madagascar","Fort Dauphin, Lebanon Beach, Madagascar"
Coverage Geographic,"Fort Dauphin, Madagascar","Fort Dauphin, Madagascar"
Coverage Geographic,"Fort Dauphin, near, Madagascar","Fort Dauphin, Madagascar"
Coverage Geographic,"Fort Dauphin, north of, Botanical Garden, Madagascar","Fort Dauphin, Madagascar"
Coverage Geographic,"Fort Dauphin, north of, Madagascar","Fort Dauphin, Madagascar"
Coverage Geographic,"Fort Dauphin, outside, Madagascar","Fort Dauphin, Madagascar"
Coverage Geographic,"Fort Dauphin, west of, Madagascar","Fort Dauphin, Madagascar"
Coverage Geographic,"Fort Point (San Francisco, Calif.)","Fort Point, San Francisco, California"
Coverage Geographic,"Gabon, Africa","Gabon, Africa"
Coverage Geographic,Galapagos,Galapagos Islands
Coverage Geographic,Galapagos Island,Galapagos Islands
Coverage Geographic,Galapagos Islands,Galapagos Islands
Coverage Geographic,Galapagos Islands. (Santa Cruz Island),"Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,Garfield County (Utah),"Garfield County, Utah"
Coverage Geographic,"Garfield County, Table Cliff Plateau, Utah.","Garfield County, Table Cliff Plateau, Utah"
Coverage Geographic,"Gaucin, Spain","Gaucin, Spain"
Coverage Geographic,"Gaucin, Spain.","Gaucin, Spain"
Coverage Geographic,"Ghana, Africa","Ghana, Africa"
Coverage Geographic,Gibraltar,"Gibraltar, Europe"
Coverage Geographic,"Gibraltar, Europe","Gibraltar, Europe"
Coverage Geographic,Glacier National Park (Mont.),"Glacier National Park, Montana"
Coverage Geographic,Golden Gate National Recreation Area (Calif.),"Golden Gate National Recreation Area, California"
Coverage Geographic,"Golden Gate Park (San Francisco, Calif.)","Golden Gate Park, San Francisco, California"
Coverage Geographic,"Golden Gate Park, San Francisco, CA","Golden Gate Park, San Francisco, California"
Coverage Geographic,"Granada, Spain","Granada, Spain"
Coverage Geographic,Grand Canyon National Park (Ariz.),"Grand Canyon National Park, Arizona"
Coverage Geographic,Grand Comoro Island,Grand Comore Island
Coverage Geographic,Grand Teton National Park (Wyo.),"Grand Teton National Park, Wyoming"
Coverage Geographic,Guadalupe Island,Guadalupe Island
Coverage Geographic,"Gulf of Agaba, Red Sea","Gulf of Aqaba, Red Sea"
Coverage Geographic,"Hao Island, Tuamotus. French Polynesia.","Hao Island, Tuamotus, French Polynesia"
Coverage Geographic,Hawaii,Hawaii
Coverage Geographic,Herschel Island (Yukon),Herschel Island (Yukon)
Coverage Geographic,"Highlands, Albermarle Island, Galapagos Islands, Ecuador","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Hog Harbor, Espiritu Santo Island, New Hebrides. Vanuatu. South Pacific Ocean","Hog Harbor, Espiritu Santo Island, New Hebrides, Vanuatu, South Pacific Ocean"
Coverage Geographic,Honduras,Honduras
Coverage Geographic,"Honolulu, Hawaii","Honolulu, Hawaii"
Coverage Geographic,"Hood Island, Central American coast (Espanola Island)","Espanola (Hood) Island, Galapagos Islands"
Coverage Geographic,"Hood Island, Galapagos","Espanola (Hood) Island, Galapagos Islands"
Coverage Geographic,"Hood Island, Galapagos Islands (Espanola Island)","Espanola (Hood) Island, Galapagos Islands"
Coverage Geographic,"Hood Island, Galapagos Islands, Ecuador","Espanola (Hood) Island, Galapagos Islands"
Coverage Geographic,"Hood Island, Galapagos. (Espanola Island)","Espanola (Hood) Island, Galapagos Islands"
Coverage Geographic,Hood Island?,"Espanola (Hood) Island, Galapagos Islands"
Coverage Geographic,"Hotel Blue Marine near roadside Ramena Beach, Madagascar","Ramena Beach, Madagascar"
Coverage Geographic,"Hull Island, Phoenix Group, Kiribati","Hull Island, Phoenix Islands, Kiribati"
Coverage Geographic,"Ifaty, Madagascar","Ifaty, Madagascar"
Coverage Geographic,"Ifaty, north of in SW, Madagascar","Ifaty, Madagascar"
Coverage Geographic,"Ifaty, south of, Madagascar","Ifaty, Madagascar"
Coverage Geographic,"Ihosy, northeast of, Horombe Plateau, Madagascar","Ihosy,Madagascar"
Coverage Geographic,"Indefatigable (Seymour Bay), Galapagos Islands, Ecuador","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,Indefatigable (Seymour Island),"Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Indefatigable Island (Seymour Island), Galapagos Islands","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Indefatigable Island, Galapagos","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Indefatigable Island, Galapagos (Santa Cruz Island)","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Indefatigable Island, Galapagos Islands","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Indefatigable Island, Galapagos Islands, Ecuador","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Indefatigable Island, Galapagos Islands, Ecuador (Seymour Island)","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Indefatigable Island, Galapagos Islands. (Now named Santa Cruz Island)","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Indefatigable Island, Galapagos.","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Indefatigable, Galapagos","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Indefatigble Island, Galapagos Islands (near Seymour anchorage)","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,Indonesia,"Indonesia, Asia"
Coverage Geographic,"Indonesia, Asia.","Indonesia, Asia"
Coverage Geographic,Isabela Island (Galapagos Islands),"Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,Isabela Island (Galapagos Islands),"Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Isabela Island, Galapagos","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Isabela Island, Galapagos.","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Isabella Island, Central American coast, Mexico","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Isalo National Park, Madagascar","Isalo National Park, Madagascar"
Coverage Geographic,"Isalo National Park, near, Madagascar","Isalo National Park, Madagascar"
Coverage Geographic,Island Sator,Island Sator
Coverage Geographic,Italy,Italy
Coverage Geographic,"Itampolo, Madagascar","Itampolo, Madagascar"
Coverage Geographic,"Itampolo, near, Madagascar","Itampolo, Madagascar"
Coverage Geographic,"Itampolo, road to, Madagascar","Itampolo, Madagascar"
Coverage Geographic,"James Bay, Jervis Island, Galapagos Islands. (Rabida Island)","Rabida (Jervis) Island, Galapagos Islands"
Coverage Geographic,"James Island, Galapagos","Santiago (San Salvador, James) Island, Galapagos Islands"
Coverage Geographic,"James Island, Galapagos (Santiago Island)","Santiago (San Salvador, James) Island, Galapagos Islands"
Coverage Geographic,"Java (probably?), Indonesia, Asia.","Java, Indonesia, Asia"
Coverage Geographic,"Java, Indonesia, Asia.","Java, Indonesia, Asia"
Coverage Geographic,"Jervis Island, Galapagos Islands. (Rabida Island)","Rabida (Jervis) Island, Galapagos Islands"
Coverage Geographic,"Kanganaman, East Sepik Province, Papua New Guinea","Kanganaman, East Sepik Province, Papua New Guinea"
Coverage Geographic,"Kanganaman, East Sepik Province, Sepik River, Papua New Guinea","Kanganaman, East Sepik Province, Papua New Guinea"
Coverage Geographic,"Kau Kau Bay and Aola Bay, Guadalcanal Island. Solomon Islands.","Kau Kau Bay and Aola Bay, Guadalcanal Island, Solomon Islands"
Coverage Geographic,"Kenya, Africa","Kenya, Africa"
Coverage Geographic,Kings Canyon National Park (Calif.),"Kings Canyon National Park, California"
